No. Cuenta,RPU,Nombre,Direccion,Colonia,Tarifa,Hilos,Carga Ins.,Demanda Cont.,Tipo Sum,Promedio Diario,No. Medidor,Año,Censo Fecha,No. Lamparas
80DP08E015500071,068010801625,MPIO CORTAZAR,COLONIA VILLAS DE CORRALEJO   ,CENTRO CORTAZAR               ,5A,2,2.543,5.87,3,30.5,n/c,2023,25/09/2023,25
80DP08E015500050,068020413097,MPIO CORTAZAR,COLONIA VILLA DE AMOLES       ,VILLAS DE AMOLES CORTAZAR     ,5A,2,4.562,5.047,3,54.7333,n/c,2023,30/09/2023,59
80DP08E015500063,068020611450,MPIO CORTAZAR,COLONIA LOS MAGUEYES          ,CENTRO CORTAZAR               ,5A,2,2.656,2.475,3,31.8667,n/c,2023,25/09/2023,31
80DP08E015500003,068050102606,MPIO CORTAZAR,COLONIA SANTA FE              ,PADRE NIEVES CORTAZAR         ,5A,2,0.75,0.95,3,9,n/c,2023,28/09/2023,6
80DP08E015500061,068070701638,MPIO CORTAZAR,COLONIA DEL VALLE             ,VALLE DEL CORTAZAR            ,5A,2,2.493,3.885,3,29.9,n/c,2023,30/09/2023,38
80DP08E015500064,068070701735,MPIO CORTAZAR,COLONIA LA PERLA              ,PERLA LA CORTAZAR             ,5A,2,2.45,4.04,3,29.4,n/c,2023,29/09/2023,22
80DP08E015500085,068090701430,MPIO CORTAZAR,FRACC DOS PLAZAS              ,DOS PLAZAS CORTAZAR           ,5A,2,5.575,5.22,2,66.9,n/c,2023,26/09/2023,45
80DP08E015500014,068091202933,MPIO CORTAZAR,FRACC DIAMANTE 2DA ETAPA      ,GUANAJUATO CORTAZAR           ,5A,2,1.137,1.057,3,13.6333,n/c,2023,27/09/2023,13
80DP08E015500006,068100900550,MPIO CORTAZAR,FRACC REAL DEL CHAPINGO       ,GUANAJUATO CORTAZAR           ,5A,1,3.656,0.75,3,43.8667,n/c,2023,27/09/2023,45
80DP08E015500018,068090700069,MPIO CORTAZAR,COLONIA LOMAS DEL PERAL 2SECC ,LOM. DEL PERAL 2DA SECC       ,5A,2,1.375,1.88,3,16.5,n/c,2023,28/09/2023,20
80DP08E015500077,068020312401,MPIO CORTAZAR,COLONIA SAN CRISTOBAL         ,FRESNO EL CORTAZAR            ,5A,2,1.031,0.375,3,12.3667,n/c,2023,27/09/2023,12
80DP08E015500079,068030602271,MPIO CORTAZAR,COLONIA GUANAJUATO            ,SAN MIGUEL CORTAZAR           ,5A,2,9.3,4.4,3,111.6,n/c,2023,27/09/2023,110
80DP08E015500044,068040457724,MPIO CORTAZAR,JOYAS DE CORRALEJO            ,VILLAS DE CORRALEJO CORTAZA   ,5A,2,2.137,1.06,3,25.6333,n/c,2023,30/09/2023,26
80DP08E015500047,068981250099,MPIO CORTAZAR,COLONIA VILLAS DEL SOL        ,VILLAS DEL SOL CORTAZAR       ,5A,1,5.6,4.415,3,67.2,n/c,2023,30/09/2023,78
80DP08E015500005,068900300933,MPIO CORTAZAR,COLONIA CHAPINGO              ,CHAPINGO CORTAZAR             ,5A,2,6.662,5.77,3,79.9333,n/c,2023,26/09/2023,95
80DP08E015500048,068940150586,MPIO CORTAZAR,COLONIA PRIMERO ES CORTAZAR   ,PRIMERO ES CORTAZAR           ,5A,2,3.637,5.632,3,43.6333,n/c,2023,29/09/2023,50
80DP08E015500045,068960150124,MPIO CORTAZAR,COLONIA BUROCRATA             ,BUROCRATA CORTAZAR            ,5A,1,6.356,9.97,3,76.2667,n/c,2023,25/09/2023,76
80DP08E015500002,068980950721,MPIO CORTAZAR,COL SAN FRANCISCO             ,CENTRO CORTAZAR               ,5A,2,5.593,1.345,3,67.1,n/c,2023,26/09/2023,80
80DP08E015500068,068950450669,MPIO CORTAZAR,COLONIA HUERTAS DE LA HACIENDA,HUERTAS DE LA HACIENDA CORT   ,5A,2,3.231,2.745,3,38.7667,n/c,2023,27/09/2023,47
80DP08E015500049,068940150683,MPIO CORTAZAR,COLONIA EL EJEMPLO ES CORTAZAR,EL EJEMPLO ES CORTAZAR        ,5A,2,1.65,1.835,3,19.8,n/c,2023,26/09/2023,22
80DP08E015500076,068990550593,MPIO CORTAZAR,COLONIA SAN MIGUEL            ,SAN MIGUEL CORTAZAR           ,5A,2,6.437,3.7,3,77.2333,n/c,2023,29/09/2023,80
80DP08E095500005,068950850454,MPIO CORTAZAR,PARRA  GTO                    ,PARRA CORTAZAR                ,5A,1,10.593,5.44,3,127.1,n/c,2023,28/09/2023,95
80DP08E125500005,068820500940,MPIO CORTAZAR,COLONIA DE FUENTES  GTO       ,COLONIA DE FUENTES CORTAZAR   ,5A,1,5.525,8.12,3,66.3,n/c,2023,26/09/2023,50
80DP08X235500001,074850400494,MPIO CORTAZAR,LA CALZADA  GTO               ,CALZADA VILLAGRAN             ,5A,1,10.506,4.685,3,126.0667,n/c,2023,25/09/2023,127
80DP08E205500005,068860900941,MPIO CORTAZAR,SAUZ DE FUENTES  GTO          ,SAUZ DE FUENTES CORTAZAR      ,5A,1,2.931,5.11,3,35.1667,n/c,2023,29/09/2023,38
80DP08E225500005,068861200942,MPIO CORTAZAR,EL ZAPOTE  GTO                ,ZAPOTE EL CORTAZAR            ,5A,1,2.975,5.438,3,35.7,n/c,2023,30/09/2023,31
80DP08E275500005,068850700943,MPIO CORTAZAR,CARACHEO  GTO                 ,CARACHEO CORTAZAR             ,5A,1,9.425,7.01,3,113.1,n/c,2023,25/09/2023,118
80DP08E285500005,068870100942,MPIO CORTAZAR,MANDINGA                      ,MANDINGA CORTAZAR             ,5A,1,1.95,1.26,3,23.4,n/c,2023,28/09/2023,24
80DP08X125500001,074821200494,MPIO CORTAZAR,LA FORTALEZA  GTO             ,FORTALEZA VILLAGRAN           ,5A,1,7.581,6.867,3,90.9667,n/c,2023,27/09/2023,83
80DP08Y925500001,075871100888,MPIO CORTAZAR,ARREGUIN DE ARRIBA  GTO       ,ARREGUIN DE ARRIBA CYA R      ,5A,1,6.987,6.415,3,83.8333,n/c,2023,25/09/2023,62
