No. Cuenta,RPU,Nombre,Direccion,Colonia,Tarifa,Hilos,Carga Ins.,Demanda Cont.,Tipo Sum,Promedio Diario,No. Medidor,Año,Censo Fecha,No. Lamparas
70DP08E017700097,068150254179,MPIO CORTAZAR,REPUBLICA DE PERU S N         ,PANAMERICANA COL CORTAZAR     ,5A,2,0.562,0.69,2,3.2333,UG462A,2023,27/09/2023,6
70DP08E017701195,068160356646,MPIO CORTAZAR,SALVATIERRA S N               ,GUANAJUATO CORTAZAR           ,5A,2,0,0,2,6.6667,HMA922,2023,22/06/2023,6
70DP08E017701260,068170301769,MPIO CORTAZAR,GARDENIA Y RAMON TORRES M S N ,CERRO COLORADO CORTAZAR       ,5A,2,0,0,2,6.6667,479XBH,2023,22/06/2023,14
72DP08E177200012,068030600499,MPIO CORTAZAR,LAURELES TIERRAFRIA           ,TIERRAFRIA CORTAZAR           ,5A,1,1.531,2.125,2,5.6875,F922VR,2023,29/09/2023,16
72DP08E177200014,068160356671,MPIO CORTAZAR,VICENTE GUERRERO S N          ,TIERRAFRIA CORTAZAR           ,5A,2,2.018,2,2,15.3125,UF549M,2023,29/09/2023,13
72DP08E177200016,068080201030,MPIO CORTAZAR,5 DE MAYO TIERRAFRIA          ,TIERRAFRIA CORTAZAR           ,5A,2,1.05,1,2,15.0625,UF552M,2023,29/09/2023,12
78DP08E237800014,068150353568,MPIO CORTAZAR,MELCHOR OCAMPO S N EL HUIZACHE,HUIZACHE EL CORTAZAR          ,5A,2,0.487,0.69,2,2.1667,UF010M,2023,27/09/2023,6
78DP08E237800012,068150353550,MPIO CORTAZAR,MORELOS S N EL HUIZACHE       ,HUIZACHE EL CORTAZAR          ,5A,2,0.412,0.52,2,2.3,UF009M,2023,27/09/2023,6
78DP08E237800016,068171100244,MPIO CORTAZAR,CALLE PONIENTE S N            ,HUIZACHE EL CORTAZAR          ,5A,1,0.6,0.905,2,0.5667,WH519K,2023,30/09/2023,12
78DP08E317800011,068100602389,MPIO CORTAZAR,SAN ANTONIO S N VALENCIA D FUE,VALENCIA DE FUENTES CORTZAR   ,5A,2,0,0,2,8.7,62C33D,2023,22/06/2023,4
78DP08E317800013,068000450816,MPIO CORTAZAR,JARDIN PRINCIPAL VALENCIA DE F,VALENCIA DE FUENTES CORTZAR   ,5A,2,1.306,1.46,2,17.4667,JMV786,2023,29/09/2023,16
65DP08E016600015,068000650220,MPIO CORTAZAR,CAMINO A MERINO               ,CENTRO CORTAZAR               ,5A,2,0,0,2,13.3333,NP431E,2021,22/09/2021,13
65DP08E016600040,068101005228,MPIO CORTAZAR,CALLE ABASOLO S N             ,BELLAVISTA CORTAZAR           ,5A,2,0,0,2,0,JNG780,2021,22/09/2021,6
65DP08E016600045,068120202255,MPIO CORTAZAR,AV CASUARINAS  PARQUE LINEAL  ,ARBOLEDAS CORTAZAR            ,5A,2,3.287,3.015,2,26.4,JNF799,2023,25/09/2023,47
65DP08E016600050,068120500655,MPIO CORTAZAR,BOULEVARD MANUEL CLOUTHIER    ,PERLA LA CORTAZAR             ,5A,3,2.062,3.932,2,20.1667,NP403E,2023,28/09/2023,30
65DP08E016600085,068171000967,MPIO CORTAZAR,CAMINO A MERINO S N           ,COL EL DURAZNO CORTAZAR       ,5A,2,0,0,2,16.3333,HMA921,2021,22/09/2021,13
65DP08E016600090,068180150301,MPIO CORTAZAR,CARR A LA GAVIA S N           ,ZAPOTE EL CORTAZAR            ,5A,1,0.437,0.565,2,1.2667,DJ890T,2023,30/09/2023,5
65DP08E016600020,068000850202,MPIO CORTAZAR,CAM A BELLAVISTA              ,BELLAVISTA CORTAZAR           ,5A,2,0,0,2,0,2W29P0,2021,11/10/2021,13
70DP08E017701145,068850600361,MPIO CORTAZAR,PASEO DE LA J Y 2 DE ABRIL    ,CENTRO CORTAZAR               ,5A,2,5.993,5.055,2,23.6333,MA725R,2023,25/09/2023,87
70DP08E017701165,068981051223,MPIO CORTAZAR,CARRET CORTAZAR JARAL         ,FRESNO EL CORTAZAR            ,5A,2,0,0,2,7.3333,82B0T4,2023,22/06/2023,29
70DP08E017701240,068160356638,MPIO CORTAZAR,MAGNOLIA S N                  ,VILLAS DE AMOLES CORTAZAR     ,5A,2,0.606,0.7,2,2,UF041M,2023,30/09/2023,8
70DP08E017701255,068160356662,MPIO CORTAZAR,CAMINO A LA GAVIA S N         ,CERRO COLORADO CORTAZAR       ,5A,2,0.693,0.485,2,0.9,UF043M,2023,26/09/2023,6
70DP08E017700011,068170700710,MPIO CORTAZAR,BRASILIA S N                  ,ARBOLEDAS CORTAZAR            ,5A,2,0,0,3,6.3667,236X3G,2021,22/09/2021,3
70DP08E017701155,068150354165,MPIO CORTAZAR,ROBLE S N COL DEL VALLE       ,VALLE DEL CORTAZAR            ,5A,2,3.037,6.36,2,64.3333,UF524M,2023,29/09/2023,36
70DP08E017701190,068160256781,MPIO CORTAZAR,MOROLEON V DE SANTIAGO Y JARAL,GUANAJUATO CORTAZAR           ,5A,2,0,0,2,7,06PK20,2023,22/06/2023,6
70DP08E017700870,068091004082,MPIO CORTAZAR,PASEO JUVENTUD SAL JARAL      ,CENTRO CORTAZAR               ,5A,2,4.081,3.605,2,41.2333,JMV787,2023,25/09/2023,53
70DP08E017701175,068101005210,MPIO CORTAZAR,PRIV OCAMPO S N CAMPO DEPORTIV,COLONIA DE FUENTES CORTAZAR   ,5A,2,0,0,2,7.6667,UF058M,2021,22/09/2021,6
70DP08E017701185,068131150290,MPIO CORTAZAR,AV JUSTINO LOZANO CHAVEZ S N  ,TABACHINES CORTAZAR           ,5A,2,0.5,0.665,2,25.7667,JNF796,2023,30/09/2023,10
70DP08E017700170,068060600035,MPIO CORTAZAR,CAMINO A MOLINO               ,CHAPINGO CORTAZAR             ,5A,2,3.987,1.09,3,17.7,DRB622,2023,26/09/2023,37
70DP08E017701270,068080102589,MPIO CORTAZAR,BALCONES DE CORTAZAR          ,BALCONES DE CORTAZAR          ,5A,2,3.437,5.647,2,11.5,UF057M,2023,25/09/2023,46
70DP08E017701170,068171001491,MPIO CORTAZAR,TEZONTLE S N                  ,FRESNO EL CORTAZAR            ,5A,2,0,0,2,10,LV128F,2021,22/09/2021,13
70DP08E017701210,068150651607,MPIO CORTAZAR,GUANABANA S N                 ,LOS HUERTOS RECIDENCIAL COR   ,5A,2,3.062,1.63,2,11.3,JNF797,2023,27/09/2023,14
70DP08E017701250,068160256854,MPIO CORTAZAR,RETORNO P DEL PAISAJE 1 Y 2   ,CERRO COLORADO CORTAZAR       ,5A,2,0.412,0.51,2,7.8667,UG461A,2023,26/09/2023,6
70DP08E017701265,068120701456,MPIO CORTAZAR,CALZ ANGEL LEON TORRES S N    ,CENTRO CORTAZAR               ,5A,2,0,0,2,11.5,G838WY,2021,22/09/2021,35
70DP08E017701180,068120304741,MPIO CORTAZAR,JAIME TORRES BODET            ,BUROCRATA CORTAZAR            ,5A,3,0,0,2,10,27C4Y2,2021,22/09/2021,49
70DP08E017701150,068090302071,MPIO CORTAZAR,CAMINO A VISTA HERMOSA S N    ,CENTRO CORTAZAR               ,5A,2,2.287,3.12,2,10,UF523M,2023,25/09/2023,26
70DP08E017701220,068110400792,MPIO CORTAZAR,PASEO ANDALUCIA COL SANTA LUCI,ANDALUCIA COL CORTAZAR        ,5A,2,5.131,7.727,2,66.1,JNG783,2023,25/09/2023,72
70DP08E017701201,068790500435,MPIO CORTAZAR,BLVD PASEO DE LA J ESQ N ART  ,CENTRO CORTAZAR               ,5A,2,2.193,2.43,2,15,UF522M,2023,25/09/2023,27
70DP08E017700012,068170700728,MPIO CORTAZAR,PROL CASUARINAS S N           ,ARBOLEDAS CORTAZAR            ,5A,2,0,0,3,10,HMA416,2021,22/09/2021,18
70DP08E017701205,068170301777,MPIO CORTAZAR,SANTA MARTHA S N              ,VILLA TOSCANA CORTAZAR        ,5A,2,1.218,0.76,2,3.3333,478XBH,2023,29/09/2023,15
40DP08X234010350,074070200183,MPIO CORTAZAR,CARRET CORT ESTACION KM 1 3   ,FORTALEZA VILLAGRAN           ,5A,1,5.637,7.575,3,2.7966,528DFE,2023,26/09/2023,82
78DP08E157800011,068111203133,MPIO CORTAZAR,AV PRINCIPAL S N              ,GALERAS DE CORTAZAR           ,5A,2,0,0,2,10.3,92T0X7,2023,22/06/2023,12
70DP08E017790641,068180790792,MPIO CORTAZAR,CALZADA DE LAS LAGRIMAS S N   ,CENTRO CORTAZAR               ,5A,2,0.475,0.885,3,16.5667,UF042M,2023,25/09/2023,6
72DP08E037200040,068120801485,MPIO CORTAZAR,COLONIA REAL DEL CHAPINGO     ,SAUZ DE FUENTES CORTAZAR      ,5A,2,1.375,2.23,2,13.4375,NN490N,2023,28/09/2023,20
72DP08E037200035,068100701751,MPIO CORTAZAR,VILLA TOSCANA AV CORRALEJO    ,VILLA TOSCANA CORTAZAR        ,5A,2,2.968,4.5,2,42.875,TY897T,2023,29/09/2023,30
72DP08E037200025,068111104411,MPIO CORTAZAR,CALLE ZAFIRO FTE AL 107       ,CHIQUIADOR CORTAZAR           ,5A,2,0,0,2,8.5938,873FUK,2023,22/06/2023,21
38DP08E013802222,068160256803,MPIO CORTAZAR,DR DANIEL PENA                ,CERRO COLORADO CORTAZAR       ,5A,2,0.675,1.687,3,0.0492,7E38F7,2023,26/09/2023,9
38DP08E013802235,068100900126,MPIO CORTAZAR,CALLE LUPITA S N CERRO COLORAD,CERRO COLORADO CORTAZAR       ,5A,2,0,0,3,1.8033,56E66D,2021,22/09/2021,5
38DP08E013802166,068160256790,MPIO CORTAZAR,PRIV J TENORIO Y PRIV NARANJOS,CERRO COLORADO CORTAZAR       ,5A,2,0.412,0.45,3,0,NP421E,2023,26/09/2023,6
38DP08E013802297,068170400911,MPIO CORTAZAR,RAMON TORRES MORENO S N CP 383,CERRO COLORADO CORTAZAR       ,5A,2,1.725,1.98,3,8.3443,833XAA,2023,26/09/2023,21
31DP08E173111725,068080600759,MPIO CORTAZAR,LIRIOS                        ,TIERRAFRIA CORTAZAR           ,5A,2,0.875,0.945,3,1.8197,29M3M4,2023,29/09/2023,10
31DP08E173110003,068210900954,MUNICIPIO DE CORTAZAR,CALLE EL SOLARCITO S N        ,TIERRAFRIA CORTAZAR           ,5A,2,1.05,2,2,1.5902,FG875C,2023,29/09/2023,12
31DP08E173111913,068220850653,MUNICIPIO DE CORTAZAR,LAS MARGARITAS S N            ,TIERRAFRIA CORTAZAR           ,5A,2,0.65,1,3,4.3934,TY441Y,2023,29/09/2023,4
30DP08E013011795,068110500223,MPIO CORTAZAR,PROL PIPILA Y AV MANZANA      ,LOS HUERTOS RECIDENCIAL COR   ,5A,2,0,0,3,2.2034,84N03J,2021,11/10/2021,4
30DP08E013011800,068110500231,MPIO CORTAZAR,PROL PIPILA ESQ AV MANZANA S N,LOS HUERTOS RECIDENCIAL COR   ,5A,2,1.75,0.521,3,4.2712,NN090X,2023,27/09/2023,8
28DP08E012811110,068180590556,MPIO CORTAZAR,CAMINO VIEJO S N              ,EX HDA CORRALEJO CORTAZAR     ,5A,2,0.9,1.38,3,22.8361,J230JY,2023,26/09/2023,12
28DP08E012810120,068211000833,MUNICIPIO DE CORTAZAR GTO,PUENTE PEATONAL COLGANTE  S N ,CENTRO CORTAZAR               ,5A,2,2.625,3,3,0,FG535C,2023,30/09/2023,30
28DP08E012811275,068070800571,MPIO CORTAZAR,SANTA LUCIA 100 CP 38300      ,LA ESPERANZA COL CORTAZAR     ,5A,2,0.312,0.5,3,0,Y634KP,2023,27/09/2023,4
28DP08E012810135,068190200411,MPIO CORTAZAR,CALZ DE LAS LAGRIMAS S N      ,CENTRO CORTAZAR               ,5A,2,1.056,0.475,3,10.3115,N671CN,2023,25/09/2023,13
32DP08E143200721,068200801231,MUNICIPIO DE CORTAZAR,ACCECO A LAS HUERTAS S N      ,HUERTA LA CORTAZAR            ,5A,2,1.25,0.945,2,11.2373,TY424P,2023,27/09/2023,10
32DP08E143200403,068150254187,MPIO CORTAZAR,GUADALUPE VICTORIA S N        ,HUERTA LA CORTAZAR            ,5A,2,0,0,2,6.6667,UF059M,2021,22/09/2021,6
